"File","Line","URL"
"ISM-1902.md","50","https://learn.microsoft.com/en-us/mem/configmgr/comanage/overview#microsoft-entra-id"
"ISM-1693.md","80","https://learn.microsoft.com/en-us/microsoft-365-app-certification/docs/seg2_ops"
"ISM-1674.md","107","https://learn.microsoft.com/en-us/microsoft-365-apps/security/internet-macros-blocked"
"ISM-1823.md","93","https://learn.microsoft.com/en-us/microsoft-365/admin/manage/manage-office-scripts-settings?view=o365-worldwide"
"ISM-1173.md","37","https://learn.microsoft.com/en-us/microsoft-365/app-certification/docs/seg2_ops"
"ISM-0974.md","37","https://learn.microsoft.com/en-us/microsoft-365/enterprise/microsoft-365-secure-sign-in?view=o365-worldwide"
"ISM-1173.md","35","https://learn.microsoft.com/en-us/microsoft-365/solutions/empower-people-to-work-remotely-secure-sign-in?view=o365-worldwide"
"ISM-1674.md","67","https://learn.microsoft.com/en-us/microsoft-365/solutions/ransomware-protection-microsoft-365-devices?view=o365-worldwide"
"ISM-1621.md","72","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.core/disable-pssessionconfiguration?view=powershell-7.5"
"ISM-1622.md","67","https://learn.microsoft.com/en-us/powershell/module/microsoft.powershell.core/new-pssessionconfigurationfile?view=powershell-7.5"
"ISM-1622.md","66","https://learn.microsoft.com/en-us/powershell/scripting/security/app-control/application-control?view=powershell-7.5"
"ISM-1622.md","65","https://learn.microsoft.com/en-us/powershell/scripting/security/app-control/how-app-control-works?view=powershell-7.5"
"ISM-1621.md","68","https://learn.microsoft.com/en-us/powershell/scripting/security/app-control/how-to-use-app-control?view=powershell-7.5"
"ISM-1824.md","55","https://learn.microsoft.com/en-us/purview/sensitivity-labels-office-apps"
"ISM-1702.md","73","https://learn.microsoft.com/en-us/security-exposure-management/microsoft-security-exposure-management"
"ISM-1696.md","82","https://learn.microsoft.com/en-us/security-updates/securityadvisories/2017/4025685"
"ISM-1486.md","67","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2002/ms02-052"
"ISM-1486.md","46","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2003/ms03-011"
"ISM-1488.md","101","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2007/ms07-014"
"ISM-1488.md","99","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2008/ms08-014"
"ISM-1486.md","71","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2011/ms11-079"
"ISM-1542.md","101","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2014/ms14-064"
"ISM-1860.md","70","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-028"
"ISM-1704.md","112","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-050"
"ISM-1670.md","35","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2016/ms16-102"
"ISM-1704.md","114","https://learn.microsoft.com/en-us/security-updates/securitybulletins/2017/ms17-005"
"ISM-1703.md","76","https://learn.microsoft.com/en-us/security/benchmark/azure/baselines/virtual-machines-windows-virtual-machines-security-baseline"
"ISM-1693.md","78","https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-posture-vulnerability-management"
"ISM-1811.md","124","https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-v2-backup-recovery"
"ISM-1872.md","32","https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-v2-identity-management"
"ISM-1815.md","80","https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-v2-logging-threat-detection"
"ISM-1699.md","73","https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-v2-posture-vulnerability-management"
"ISM-1380.md","119","https://learn.microsoft.com/en-us/security/benchmark/azure/mcsb-v2-privileged-access"
"ISM-1693.md","79","https://learn.microsoft.com/en-us/security/benchmark/azure/security-control-vulnerability-management"
"ISM-1690.md","99","https://learn.microsoft.com/en-us/security/benchmark/azure/security-controls-v2-posture-vulnerability-management"
"ISM-1897.md","101","https://learn.microsoft.com/en-us/security/privileged-access-workstations/legacy-privileged-access-devices"
"ISM-1380.md","109","https://learn.microsoft.com/en-us/security/privileged-access-workstations/security-rapid-modernization-plan"
"ISM-1872.md","91","https://learn.microsoft.com/en-us/security/zero-trust/cisa-zero-trust-maturity-model-identity"
"ISM-1173.md","88","https://learn.microsoft.com/en-us/security/zero-trust/zero-trust-identity-device-access-policies-prerequisite"
"ISM-1810.md","68","https://learn.microsoft.com/en-us/sql/sql-server/azure-arc/backup-local?view=sql-server-ver17"
"ISM-1542.md","100","https://learn.microsoft.com/en-us/troubleshoot/microsoft-365-apps/office-suite-issues/control-block-ole-com"
"ISM-1669.md","70","https://learn.microsoft.com/en-us/troubleshoot/microsoft-365-apps/settings/how-to-securely-open-office-documents-that-have-dde-fields"
"ISM-1815.md","77","https://learn.microsoft.com/en-us/troubleshoot/windows-server/group-policy/set-event-log-security-locally-or-via-group-policy"
"ISM-1504.md","45","https://learn.microsoft.com/en-us/volume-licensing-central/learning/mfa/how-to-enable-mfa"
"ISM-1896.md","63","https://learn.microsoft.com/en-us/windows-hardware/design/device-experiences/oem-10s-security"
"ISM-1896.md","48","https://learn.microsoft.com/en-us/windows-hardware/drivers/bringup/device-guard-and-credential-guard"
"ISM-1659.md","73","https://learn.microsoft.com/en-us/windows-hardware/drivers/driversecurity/driver-security-checklist"
"ISM-1896.md","61","https://learn.microsoft.com/en-us/windows-hardware/drivers/driversecurity/implement-hvci-compatible-code"
"ISM-1655.md","33","https://learn.microsoft.com/en-us/windows-hardware/manufacture/desktop/microsoft-net-framework-35-deployment-considerations?view=windows-11"
"ISM-1896.md","60","https://learn.microsoft.com/en-us/windows-hardware/test/hlk/testref/driver-compatibility-with-device-guard"
"ISM-1861.md","34","https://learn.microsoft.com/en-us/windows-iot/iot-enterprise/whats-new/windows-11-iot-enterprise-ltsc-2024"
"ISM-1896.md","69","https://learn.microsoft.com/en-us/windows-security/book/hardware-security-silicon-assisted-security"
"ISM-1896.md","31","https://learn.microsoft.com/en-us/windows-security/hardware-security/enable-virtualization-based-protection-of-code-integrity"
"ISM-1861.md","33","https://learn.microsoft.com/en-us/windows-security/identity-protection/credential-guard/considerations-known-issues"
"ISM-1876.md","98","https://learn.microsoft.com/en-us/windows-server/get-started/hotpatch"
"ISM-1686.md","51","https://learn.microsoft.com/en-us/windows-server/identity/ad-ds/manage/delegated-managed-service-accounts/credential-guard-protected-machine-accounts"
"ISM-0843.md","84","https://learn.microsoft.com/en-us/windows-server/manage/windows-admin-center/use/manage-application-control-infrastructure"
"ISM-1861.md","58","https://learn.microsoft.com/en-us/windows-server/security/credentials-protection-and-management/configuring-additional-lsa-protection"
"ISM-1659.md","75","https://learn.microsoft.com/en-us/windows-server/security/kernel-mode-hardware-stack-protection"
"ISM-1544.md","58","https://learn.microsoft.com/en-us/windows/apps/develop/smart-app-control/overview"
"ISM-1621.md","69","https://learn.microsoft.com/en-us/windows/client-management/client-tools/add-remove-hide-features"
"ISM-1670.md","75","https://learn.microsoft.com/en-us/windows/client-management/mdm/applocker-ddf-file"
"ISM-1815.md","78","https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csp-admx-eventlog"
"ISM-1815.md","57","https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csp-admx-eventlogging"
"ISM-1412.md","72","https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csp-browser"
"ISM-1654.md","75","https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csp-internetexplorer"
"ISM-1861.md","32","https://learn.microsoft.com/en-us/windows/client-management/mdm/policy-csp-lsa"
"ISM-1704.md","49","https://learn.microsoft.com/en-us/windows/configuration/policy-based-inbox-app-removal/policy-based-inbox-app-removal"
"ISM-1810.md","72","https://learn.microsoft.com/en-us/windows/configuration/windows-backup/"
"ISM-1901.md","52","https://learn.microsoft.com/en-us/windows/deployment/update/waas-wufb-csp-mdm"
"ISM-1696.md","84","https://learn.microsoft.com/en-us/windows/deployment/update/waas-wufb-group-policy"
"ISM-1902.md","74","https://learn.microsoft.com/en-us/windows/deployment/windows-autopatch/manage/windows-autopatch-hotpatch-updates"
